FilmTitle,"Superhit,HitorFlop",Genre,YearofRelease,HolidayWeekRelease,Budget(inCr),BoxOfficeCollection(inCrores),Profit/Loss(INR)(inCrores),Profit/LossMargin,IMDBrating,superstarhero,OTT/TheatreRelease,OTTavailability,ElementNr,ShiftNo,Mod
Jalsa,Hit,Thriller,2022,no,15,,,0,6.6,no,OTT,AmazonPrimeVideo,80,78,0
DilBechara,HIt,Romance,2020,no,30,,,0,8.1,SushantSinghRajput,OTT,Hotstar,82,80,0
Thegirlonthetrain,Flop,Thriller,2021,no,13,10,,0,4.5,no,OTT,Netflix,84,82,0
AngreziMedium,Flop,Drama,2020,no,36,13.5,-22.5,-62.5,7.2,IrrfanKhan,OTT,Hotstar,86,84,0
Ludo,SuperHit,Drama,2020,yes,21,85,64,304.7619048,7.6,no,OTT,Netflix,88,86,0
Shiddat,Flop,Romance,2021,no,15,10,-5,-33.33333333,7.7,no,OTT,Hotstar,90,88,0
Dybbuk,Flop,Horror,2021,yes,11,,,0,4.9,EmraanHashmi,OTT,AmazonPrimeVideo,92,90,0
Laxmii,Hit,HorrorComedy,2020,yes,60,125,65,108.3333333,2.6,AkshayKumar,OTT,Hotstar,94,92,0
lootcase,Hit,Comedy,2020,no,18,20,2,11.11111111,7.6,no,OTT,Hotstar,96,94,0
jersey,Flop,SportsDrama,2022,no,95,27,-68,-71.57894737,7.3,ShahidKapoor,OTT,Netflix,98,96,0
chhalaang,Hit,SportsDrama,2020,yes,15,,,,6.8,RajkumarRao,OTT,AmazonPrimeVideo,100,98,0
jhund,Flop,SportsDrama,2022,no,22,14.7,-7.3,-33.18181818,7.4,,Theatre,Netflix,102,100,0
rashmirocket,Flop,SportsDrama,2021,no,11,,,,7.6,no,OTT,Zee5,104,102,0
housearrest,Hit,Comedy,2019,no,,,,,5.5,,OTT,Netflix,106,104,0
Jaanetuyajaanena,SuperHit,RomCom,2008,no,10,53.2,43.2,432,7.4,no,Theatre,Netflix,108,106,0
DelhiBelly,SuperHit,Action,2011,no,23,91,68,295.6521739,7.5,no,Theatre,Netflix,110,108,0
Raazi,SuperHit,Action,2018,no,40,197,157,392.5,7.7,VickyKaushal,Theatre,AmazonPrimeVideo,112,110,0
Lakshya,SuperHit,War,2004,no,14,26.25,12.25,87.5,7.9,HritikRoshan,Theatre,Netflix,114,112,0
TheGhaziAttack,SuperHit,War,2017,no,15,34.5,19.5,130,7.5,no,Theatre,"AmazonPrimeVideo,AppleTV",116,114,0
Parmanu,SuperHit,Drama,2018,no,44,195.08,151.08,343.3636364,7.6,JohnAbrahm,Theatre,Netflix,118,116,0
Cocktail,Hit,Drama,2012,no,35,125.7,90.7,259.1428571,6.3,SaifAliKhan,Theatre,"AmazonPrimeVideo,Zee5",120,118,0
GoliyonKiRaasleelaRam-Leela,HIt,Romance,2013,no,88,201,113,128.4090909,6.4,RanveerSingh,Theatre,"AmazonPrimeVideo,JioCinema",122,120,0
Devdas,SuperHit,Romance,2002,no,50,168,118,236,7.5,ShahRukhKhan,Theatre,"AmazonPrimeVideo,Voot",124,122,0
October,Hit,Romance,2018,no,33,58.41,25.41,77,7.5,no,Theatre,AmazonPrimeVideo,126,124,0
Pink,Hit,Drama,2016,no,30,157,127,423.3333333,8.1,AmitabhBachan,OTT,"AmazonPrimeVideo,Hotstar,AppleTV",128,126,0
Mom,SuperHit,Drama,2017,no,37,307,270,729.7297297,7.2,no,Theatre,"Netflix,Zee5",130,128,0
Padman,Hit,Comedy,2018,no,76,207,131,172.3684211,7.9,AkshayKumar,Theatre,"Netflix,Zee5",132,130,0
Thappad,Hit,Drama,2020,no,24,43.77,19.77,82.375,7.1,no,Theatre,AmazonPrimeVideo,134,132,0
BhoolBhulaiya,Hit,HorrorComedy,2007,no,32,82.8,50.8,158.75,7.4,AkshayKumar,Theatre,Hotstar,136,134,0
Chhichhore,Hit,Romance,2019,no,50,215,165,330,8.2,SushantSinghRajput,Theatre,"Hotstar,AppleTV",138,136,0
ChandigarhKareAshiqui,Flop,Drama,2021,no,30,42.23,12.23,40.76666667,6.8,AyushmannKhurrana,Theatre,Netflix,140,138,0
KabirSingh,SuperHit,Romance,2019,no,60,379,319,531.6666667,7,ShahidKapoor,Theatre,Netflix,142,140,0
BajiRaoMastani,SuperHit,Historical,2015,yes,145,356.2,211.2,145.6551724,7.2,RanveerSingh,Theatre,AmazonPrimeVideo,144,142,0
Padmavat,SuperHit,Historical,2018,yes,215,587,372,173.0232558,7,"RanveerSingh,ShahidKapoor",Theatre,AmazonPrimeVideo,146,144,0
chandnibar,SuperHit,Drama,2001,no,1.5,6.6,5.1,340,7.6,no,Theatre,"AmazonPrimeVideo,MXPlayer,Youtube",148,146,0
lipstickundermyburkha,SuperHit,Drama,2016,no,6,26.68,20.68,344.6666667,6.8,no,Theatre,AmazonPrimeVideo,150,148,0
LoveAajKal,Hit,RomCom,2009,no,35,119,84,240,6.8,SaifAliKhan,Theatre,"AmazonPrimeVideo,AppleTV,YouTube",152,150,0
Black,Hit,Drama,2005,no,22,66,44,200,8.1,AmitabhBachchan,Theatre,AmazonPrimeVideo,154,152,0
Section375:MarziYaZabardasti?,Hit,Drama,2019,no,12.35,,,,8.1,,Theatre,AmazonPrimeVideo,156,154,0
dhobighat,Flop,Drama,2010,yes,25.6,13,-12.6,-49.21875,7,AamirKhan,Theatre,Netflix,158,156,0
Badlapur,SuperHit,Thriller,2015,no,16,81.3,65.3,408.125,7.4,no,Theatre,"AmazonPrimeVideo,Zee5,Jiocinema",160,158,0
Golmaal:FunUnlimited,SuperHit,Comedy,2006,no,15,46.72,31.72,211.4666667,7.4,AjayDevgan,Theatre,"AmazonPrimeVideo,Zee5,MXPlayer",162,160,0
Housefull3,Hit,Comedy,2016,no,85,195,110,129.4117647,4.9,AkshayKumar,Theatre,"AmazonPrimeVideo,Hotstar",164,162,0
shivaay,Hit,Action,2016,no,103,146.29,43.29,42.02912621,6.1,AjayDevgn,Theatre,AmazonPrimeVideo,166,164,0
mohenjodaro,Flop,Romance,2016,yes,,,,,5.6,,Theatre,AmazonPrimeVideo,168,166,0
airlift,SuperHit,Thriller,2016,yes,32,231,199,621.875,7.9,AkshayKumar,Theatre,AmazonPrimeVideo,170,168,0
madrascafe,Hit,Thriller,2013,no,35,67,32,91.42857143,7.6,JohnAbraham,Theatre,Netflix,172,170,0
golmaalagain,SuperHit,Comedy,2017,yes,72,315,243,337.5,4.9,AjayDevgn,Theatre,Hotstar,174,172,0
